	group	bray_dist_genus	gene_cluster	index
s99	8M1_T1_T11	0.776836848	0.00218543	MAG
s100	8M1_T1_T2	0.744346378	0.000198391	MAG
s101	8M1_T1_T4	0.89976182	0.005020426	MAG
s102	8M1_T1_T5	0.682266002	0.00082502	MAG
s103	6M4_T1_11	0.919454446	0.000430643	MAG
s104	8M1_T1_T7	0.865376648	0.00619224	MAG
s105	6M4_T1_10	0.894445042	0.007642513	MAG
s106	8M1_T1_T6	0.629936471	0.007477046	MAG
s107	L6_T1_1	0.697525677	1.52E-05	MAG
s108	L6_T1_10	0.769196422	1.09E-05	MAG
s109	L6_T1_11	0.624809106	0.000635715	MAG
s110	L6_T1_12	0.758257534	0.000087026	MAG
s111	L6_T1_6	0.725881023	0.003114692	MAG
s112	6M4_T1_5	0.598475152	0.001363121	MAG
s113	L6_T1_5	0.705030631	0.001619022	MAG
s114	L6_T1_13	0.863294236	0.000872049	MAG
s115	8M1_T1_T9	0.823388467	0.000708654	MAG
s116	L6_T1_7	0.866563146	0.006676502	MAG
s117	L6_T1_16	0.770150938	0.004834231	MAG
s118	L6_T1_8	0.8516696	0.001881274	MAG
s119	L6_T1_4	0.995858857	0.009174403	MAG
s120	L6_T1_2	0.970013732	0.00762693	MAG
s121	L6_T1_14	0.799782896	0.004049008	MAG
s122	L6_T1_15	0.74021365	0.004002292	MAG
